Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
51	Spectrogram 1	1	72.58	72.63	0.0499999999999972	93.75	269.53125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	72.58	5047.200418195313.wav	NN	NA	BlobDetector	0.508942455941603
52	Spectrogram 1	1	74.79	74.94	0.149999999999991	0	328.125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	74.79	5047.200418195313.wav	NN	NA	BlobDetector	0.802753879689925
53	Spectrogram 1	1	75.8	75.93	0.13000000000001	0	292.96875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	75.8	5047.200418195313.wav	NN	NA	BlobDetector	0.66668060507705
54	Spectrogram 1	1	76.77	76.9	0.13000000000001	0	339.84375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	76.77	5047.200418195313.wav	NN	NA	BlobDetector	0.826848647799066
55	Spectrogram 1	1	85.02	85.13	0.109999999999999	0	304.6875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	85.02	5047.200418195313.wav	FS	NA	BlobDetector	0.502604465939017
56	Spectrogram 1	1	85.23	85.33	0.0999999999999943	0	281.25	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	85.23	5047.200418195313.wav	FS	NA	BlobDetector	0.719548241303354
57	Spectrogram 1	1	85.57	85.75	0.179999999999993	0	421.875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	85.57	5047.200418195313.wav	NN	NA	BlobDetector	0.739166762928512
58	Spectrogram 1	1	85.79	85.85	0.0600000000000023	914.0625	1019.53125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	85.79	5047.200418195313.wav	NN	NA	BlobDetector	1
59	Spectrogram 1	1	89.28	89.4	0.120000000000005	0	328.125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	89.28	5047.200418195313.wav	NN	NA	BlobDetector	0.542897715876345
60	Spectrogram 1	1	90.46	90.56	0.0999999999999943	0	93.75	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	90.46	5047.200418195313.wav	NN	NA	BlobDetector	0.743420045304489
61	Spectrogram 1	1	90.8	90.91	0.109999999999999	0	257.8125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	90.8	5047.200418195313.wav	NN	NA	BlobDetector	0.61461460502071
62	Spectrogram 1	1	93.5	93.62	0.120000000000005	855.46875	1019.53125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	93.5	5047.200418195313.wav	NN	NA	BlobDetector	1
63	Spectrogram 1	1	95.75	95.82	0.0700000000000074	0	93.75	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	95.75	5047.200418195313.wav	NN	NA	BlobDetector	0.757355814820718
64	Spectrogram 1	1	96.03	96.1	0.0700000000000074	0	58.59375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	96.03	5047.200418195313.wav	NN	NA	BlobDetector	0.783001974444093
65	Spectrogram 1	1	97.28	97.55	0.269999999999996	0	281.25	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	97.28	5047.200418195313.wav	NN	NA	BlobDetector	0.548005718444437
66	Spectrogram 1	1	105.13	105.18	0.0500000000000114	0	70.3125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	105.13	5047.200418195313.wav	NN	NA	BlobDetector	0.75538208914577
67	Spectrogram 1	1	106.8	106.91	0.109999999999999	23.4375	375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	106.8	5047.200418195313.wav	NN	NA	BlobDetector	0.724339762554355
68	Spectrogram 1	1	112.85	113	0.149999999999991	0	386.71875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	112.85	5047.200418195313.wav	NN	NA	BlobDetector	0.534881248459298
69	Spectrogram 1	1	113.6	113.78	0.179999999999993	0	492.1875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	113.6	5047.200418195313.wav	FS	NA	BlobDetector	0.748617637687476
70	Spectrogram 1	1	114.03	114.13	0.0999999999999943	0	386.71875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	114.03	5047.200418195313.wav	NN	NA	BlobDetector	0.674893989948694
71	Spectrogram 1	1	114.23	114.74	0.510000000000005	0	492.1875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	114.23	5047.200418195313.wav	NN	NA	BlobDetector	0.683349898589585
72	Spectrogram 1	1	114.26	114.33	0.0699999999999932	949.21875	1019.53125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	114.26	5047.200418195313.wav	NN	NA	BlobDetector	1
73	Spectrogram 1	1	115.22	115.35	0.13000000000001	0	398.4375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	115.22	5047.200418195313.wav	NN	NA	BlobDetector	0.739050993834
74	Spectrogram 1	1	115.46	115.6	0.140000000000001	0	398.4375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	115.46	5047.200418195313.wav	NN	NA	BlobDetector	0.624939481611285
75	Spectrogram 1	1	115.84	115.93	0.0900000000000034	0	128.90625	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	115.84	5047.200418195313.wav	FS	NA	BlobDetector	0.534096448063349
76	Spectrogram 1	1	116.21	116.63	0.419999999999987	0	410.15625	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	116.21	5047.200418195313.wav	NN	NA	BlobDetector	0.50287150316972
77	Spectrogram 1	1	116.97	117.1	0.13000000000001	0	257.8125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	116.97	5047.200418195313.wav	FS	NA	BlobDetector	0.542764055725607
78	Spectrogram 1	1	117.94	118.06	0.120000000000005	0	257.8125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	117.94	5047.200418195313.wav	NN	NA	BlobDetector	0.577174442758914
79	Spectrogram 1	1	118.3	118.65	0.350000000000009	0	433.59375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	118.3	5047.200418195313.wav	NN	NA	BlobDetector	0.634963273386134
